"index","eventId","minute","second","teamId","x","y","period","type","outcomeType","qualifiers.type.value","qualifiers.type.displayName","qualifiers.value","satisfiedEventsTypes","isTouch","playerId","endX","endY","blockedX","blockedY","goalMouthZ","goalMouthY","isShot","relatedEventId","relatedPlayerId","isGoal","cardType","isOwnGoal","cumulative_mins","id","expandedMinute","type_value_Angle","type_value_PassEndY","type_value_StandingSave","type_value_Length","type_value_Zone","type_value_PassEndX","type_value_Longball","type_value_ThrowIn","type_value_Defensive","type_value_OppositeRelatedEvent","type_value_Offensive","type_value_HeadPass","type_value_KeeperThrow","type_value_RightFoot","type_value_Cross","type_value_BlockedCross","type_value_Chipped","type_value_Head","type_value_LayOff","type_value_OtherBodyPart","type_value_LeftFoot","type_value_Foul","type_value_FreekickTaken","type_value_GoalKick","type_value_PlayerCaughtOffside","type_value_IndirectFreekickTaken","type_value_RelatedEventId","type_value_Yellow","type_value_LeadingToGoal","type_value_IntentionalAssist","type_value_ShotAssist","type_value_RegularPlay","type_value_BigChanceCreated","type_value_IntentionalGoalAssist","type_value_KeyPass","type_value_BigChance","type_value_BoxCentre","type_value_GoalMouthY","type_value_OneOnOne","type_value_LowRight","type_value_Assisted","type_value_GoalMouthZ","type_value_LeadingToAttempt","type_value_FirstTouch","type_value_IndividualPlay","type_value_OutOfBoxCentre","type_value_BlockedY","type_value_BlockedX","type_value_DirectFreekick","type_value_MissHigh","type_value_OutOfBoxDeepLeft","type_value_Throughball","type_value_SmallBoxRight","type_value_OverRun","type_value_Blocked","type_value_BoxRight","type_value_OutfielderBlock","type_value_MissLeft","type_value_MissRight","type_value_CornerTaken","type_value_LastMan","type_value_BoxLeft","type_value_FastBreak","type_value_LowLeft","type_value_DivingSave","type_value_Hands","type_value_Collected","type_value_KeeperSaveInTheBox","type_value_HighRight","type_value_FromCorner","type_value_PlayerPosition","type_value_JerseyNumber","type_value_FormationSlot","type_value_CaptainPlayerId","type_value_TeamPlayerFormation","type_value_InvolvedPlayers","type_value_TeamFormation","type_value_SetPiece","type_value_LowCentre","type_value_SmallBoxLeft","type_value_ParriedSafe","type_value_KeeperSaveInSixYard","value_Angle","value_PassEndY","value_StandingSave","value_Length","value_Zone","value_PassEndX","value_Longball","value_ThrowIn","value_Defensive","value_OppositeRelatedEvent","value_Offensive","value_HeadPass","value_KeeperThrow","value_RightFoot","value_Cross","value_BlockedCross","value_Chipped","value_Head","value_LayOff","value_OtherBodyPart","value_LeftFoot","value_Foul","value_FreekickTaken","value_GoalKick","value_PlayerCaughtOffside","value_IndirectFreekickTaken","value_RelatedEventId","value_Yellow","value_LeadingToGoal","value_IntentionalAssist","value_ShotAssist","value_RegularPlay","value_BigChanceCreated","value_IntentionalGoalAssist","value_KeyPass","value_BigChance","value_BoxCentre","value_GoalMouthY","value_OneOnOne","value_LowRight","value_Assisted","value_GoalMouthZ","value_LeadingToAttempt","value_FirstTouch","value_IndividualPlay","value_OutOfBoxCentre","value_BlockedY","value_BlockedX","value_DirectFreekick","value_MissHigh","value_OutOfBoxDeepLeft","value_Throughball","value_SmallBoxRight","value_OverRun","value_Blocked","value_BoxRight","value_OutfielderBlock","value_MissLeft","value_MissRight","value_CornerTaken","value_LastMan","value_BoxLeft","value_FastBreak","value_LowLeft","value_DivingSave","value_Hands","value_Collected","value_KeeperSaveInTheBox","value_HighRight","value_FromCorner","value_PlayerPosition","value_JerseyNumber","value_FormationSlot","value_CaptainPlayerId","value_TeamPlayerFormation","value_InvolvedPlayers","value_TeamFormation","value_SetPiece","value_LowCentre","value_SmallBoxLeft","value_ParriedSafe","value_KeeperSaveInSixYard","timeStamp","attendance","venueName","referee","ftScore","hteamId","ateamId","start_zone_value_xT","end_zone_value_xT","xT","teamName","oppositionTeamName","shirtNo","name","position","isFirstEleven","prog_pass","prog_carry","pass_or_carry_angle","shortName","event_index","possession_id","possession_team","row_number"
429,235,24,49,29,74.025,9.452,"FirstHalf","BlockedPass","Successful",NA,NA,NA,"c(91, 60)",TRUE,331924,74.025,9.452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.8166666666667,2810255375,24,NA,NA,NA,NA,56,NA,NA,NA,285,233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Right",NA,NA,NA,NA,"229",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-05 01:09:11",62468,"London Stadium","Michael Oliver","1 : 1",29,30,NA,NA,NA,"West Ham","Tottenham",29,"Aaron Wan-Bissaka","DMR",TRUE,0,0,0,"A. Wan-Bissaka",429,30,"West Ham",429
430,235.5,24,52,29,74.025,9.452,"FirstHalf","Carry","Successful",999,"takeOns","0","NULL",TRUE,322596,98.91,20.876,NA,NA,NA,NA,NA,236,NA,NA,NA,NA,24.8666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-05 01:09:11",62468,"London Stadium","Michael Oliver","1 : 1",29,30,0.02401521,0.06442595,0.04041074,"West Ham","Tottenham",20,"Jarrod Bowen","AMC",TRUE,0,25.054686742854,24.6585174709335,"J. Bowen",430,30,"West Ham",430
431,236,24,55,29,98.91,20.876,"FirstHalf","Pass","Unsuccessful",NA,NA,NA,"c(91, 120, 29, 35, 37, 217, 218)",TRUE,322596,97.86,24.344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.9166666666667,2810255483,24,213,141,178,212,56,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.86","35.8",NA,"3.6","Center","93.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-05 01:09:11",62468,"London Stadium","Michael Oliver","1 : 1",29,30,NA,NA,NA,"West Ham","Tottenham",20,"Jarrod Bowen","AMC",TRUE,2.45907662247632,0,106.844641617716,"J. Bowen",431,30,"West Ham",431
432,230,24,55,30,4.83,43.52,"FirstHalf","BallTouch","Successful",NA,NA,NA,"91",TRUE,403859,4.83,43.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.9166666666667,2810255495,24,NA,NA,178,NA,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Back",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-05 01:09:11",62468,"London Stadium","Michael Oliver","1 : 1",29,30,NA,NA,NA,"Tottenham","West Ham",29,"Pape Matar Sarr","MC",TRUE,0,0,0,"P. M. Sarr",432,30,"West Ham",432
433,231,24,57,30,14.91,33.32,"FirstHalf","Clearance","Successful",NA,NA,NA,"c(91, 94, 95, 215)",TRUE,355855,16.17,33.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.95,2810255569,24,213,141,178,212,56,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.00","49.0",NA,"1.3","Back","15.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-05 01:09:11",62468,"London Stadium","Michael Oliver","1 : 1",29,30,NA,NA,NA,"Tottenham","West Ham",21,"Dejan Kulusevski","MC",TRUE,0,0,0,"D. Kulusevski",433,30,"West Ham",433
434,237,24,57,29,87.36,33.796,"FirstHalf","BallTouch","Successful",NA,NA,NA,"91",TRUE,319756,87.36,33.796,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.95,2810255537,24,NA,NA,178,NA,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Center",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-05 01:09:11",62468,"London Stadium","Michael Oliver","1 : 1",29,30,NA,NA,NA,"West Ham","Tottenham",10,"Lucas Paqueta","MC",TRUE,0,0,0,"L. Paqueta",434,30,"West Ham",434
435,232,24,59,30,14.805,34.068,"FirstHalf","Clearance","Successful",NA,NA,NA,"c(91, 94, 95, 217)",TRUE,303096,75.705,10.744,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.9833333333333,2810255791,24,213,141,178,212,56,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5.92","15.8",NA,"65.2","Right","72.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-05 01:09:11",62468,"London Stadium","Michael Oliver","1 : 1",29,30,NA,NA,NA,"Tottenham","West Ham",8,"Yves Bissouma","MC",TRUE,0,0,-20.9562655232299,"Y. Bissouma",435,31,"Tottenham",435
436,238,25,6,29,32.655,56.916,"FirstHalf","Clearance","Successful",NA,NA,NA,"c(91, 94, 95, 216)",TRUE,368310,46.2,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.1,2810255805,25,213,141,178,212,56,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.73","100.0",NA,"18.1","Back","44.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-05 01:09:11",62468,"London Stadium","Michael Oliver","1 : 1",29,30,NA,NA,NA,"West Ham","Tottenham",26,"Maximilian Kilman","DC",TRUE,0,0,39.2937832059467,"M. Kilman",436,31,"Tottenham",436
437,234,25,17,30,63,0,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 212, 35, 37, 216)",TRUE,429922,38.43,9.452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.2833333333333,2810256153,25,213,141,NA,212,56,140,1,107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2.74","13.9",NA,"26.7","Back","36.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-05 01:09:11",62468,"London Stadium","Michael Oliver","1 : 1",29,30,0.0174506,0.01214719,-0.00530341,"Tottenham","West Ham",14,"Archie Gray","DR",TRUE,-16.9148551514698,0,158.958426219881,"A. Gray",437,31,"Tottenham",437
438,235,25,21,30,38.43,9.452,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 117, 30, 35, 37, 215, 218)",TRUE,330816,17.64,26.452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.35,2810256261,25,213,141,178,212,56,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2.46","38.9",NA,"26.9","Back","16.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-05 01:09:11",62468,"London Stadium","Michael Oliver","1 : 1",29,30,0.01214719,0.01016549,-0.0019817,"Tottenham","West Ham",4,"Kevin Danso","DC",TRUE,-16.7335919574764,0,140.727105321659,"K. Danso",438,31,"Tottenham",438
439,236,25,24,30,18.375,29.036,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 117, 30, 36, 37, 215, 218)",TRUE,147863,22.365,47.872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.4,2810256369,25,213,141,178,212,56,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.36","70.4",NA,"19.3","Back","21.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-05 01:09:11",62468,"London Stadium","Michael Oliver","1 : 1",29,30,0.01016549,0.01001304,-0.000152449999999998,"Tottenham","West Ham",1,"Guglielmo Vicario","GK",TRUE,2.97585100251347,0,78.0399222788351,"G. Vicario",439,31,"Tottenham",439
440,237,25,28,30,22.575,47.872,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 117, 30, 35, 38, 215, 218)",TRUE,103837,12.18,30.532,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.4666666666667,2810256481,25,213,141,178,212,56,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4.17","44.9",NA,"20.2","Back","11.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-05 01:09:11",62468,"London Stadium","Michael Oliver","1 : 1",29,30,0.01001304,0.01082722,0.000814179999999999,"Tottenham","West Ham",33,"Ben Davies","DC",TRUE,-9.30059700404655,0,-120.94188513238,"B. Davies",440,31,"Tottenham",440
441,237.5,25,30,30,12.18,30.532,"FirstHalf","Carry","Successful",999,"takeOns","0","NULL",TRUE,147863,13.755,26.384,NA,NA,NA,NA,NA,238,NA,NA,NA,NA,25.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-05 01:09:11",62468,"London Stadium","Michael Oliver","1 : 1",29,30,0.01082722,0.01082722,0,"Tottenham","West Ham",1,"Guglielmo Vicario","GK",TRUE,0,1.32247131947203,-69.2081772302004,"G. Vicario",441,31,"Tottenham",441
442,238,25,32,30,13.755,26.384,"FirstHalf","Pass","Unsuccessful",NA,NA,NA,"c(91, 120, 128, 36, 38, 216, 218)",TRUE,147863,56.7,18.224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.5333333333333,2810256549,25,213,141,178,212,56,140,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6.10","26.8",NA,"43.7","Center","54.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-05 01:09:11",62468,"London Stadium","Michael Oliver","1 : 1",29,30,NA,NA,NA,"Tottenham","West Ham",1,"Guglielmo Vicario","GK",TRUE,40.7511506568022,0,-10.7585465438119,"G. Vicario",442,31,"Tottenham",442
443,240,25,35,29,46.725,49.028,"FirstHalf","Aerial","Successful",NA,NA,NA,"c(197, 200)",FALSE,368310,46.725,49.028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.5833333333333,2810256585,25,NA,NA,NA,NA,56,NA,NA,NA,285,233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Back",NA,NA,NA,NA,"239",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-05 01:09:11",62468,"London Stadium","Michael Oliver","1 : 1",29,30,NA,NA,NA,"West Ham","Tottenham",26,"Maximilian Kilman","DC",TRUE,0,0,0,"M. Kilman",443,31,"Tottenham",443
444,239,25,35,30,58.275,18.972,"FirstHalf","Aerial","Unsuccessful",NA,NA,NA,"198:199",FALSE,317804,58.275,18.972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.5833333333333,2810256573,25,NA,NA,NA,NA,56,NA,NA,NA,NA,233,286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Center",NA,NA,NA,NA,"240",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-05 01:09:11",62468,"London Stadium","Michael Oliver","1 : 1",29,30,NA,NA,NA,"Tottenham","West Ham",9,"Richarlison","FW",TRUE,0,0,0,"Richarlison",444,31,"Tottenham",444
