"index","eventId","minute","second","teamId","x","y","period","type","outcomeType","qualifiers.type.value","qualifiers.type.displayName","qualifiers.value","satisfiedEventsTypes","isTouch","playerId","endX","endY","blockedX","blockedY","goalMouthZ","goalMouthY","isShot","relatedEventId","relatedPlayerId","isGoal","cardType","isOwnGoal","cumulative_mins","id","expandedMinute","type_value_Angle","type_value_Zone","type_value_Length","type_value_StandingSave","type_value_PassEndY","type_value_PassEndX","type_value_Longball","type_value_Chipped","type_value_HeadPass","type_value_OppositeRelatedEvent","type_value_Offensive","type_value_Defensive","type_value_ThrowIn","type_value_LayOff","type_value_MissLeft","type_value_CornerTaken","type_value_Cross","type_value_LeftFoot","type_value_Head","type_value_GoalKick","type_value_RightFoot","type_value_MissRight","type_value_Foul","type_value_FreekickTaken","type_value_Throughball","type_value_ShotAssist","type_value_KeyPass","type_value_GoalMouthY","type_value_OutOfBoxCentre","type_value_RegularPlay","type_value_IndividualPlay","type_value_Blocked","type_value_BlockedY","type_value_Assisted","type_value_LowCentre","type_value_RelatedEventId","type_value_BlockedX","type_value_GoalMouthZ","type_value_OutfielderBlock","type_value_HighClaim","type_value_KeeperThrow","type_value_PlayerCaughtOffside","type_value_IndirectFreekickTaken","type_value_OtherBodyPart","type_value_BoxCentre","type_value_FirstTouch","type_value_IntentionalAssist","type_value_BigChanceCreated","type_value_Volley","type_value_MissHigh","type_value_SmallBoxCentre","type_value_BigChance","type_value_Yellow","type_value_OverRun","type_value_LeadingToAttempt","type_value_OneOnOne","type_value_LastMan","type_value_LeadingToGoal","type_value_FromCorner","type_value_BoxLeft","type_value_SmallBoxRight","type_value_LowRight","type_value_Hands","type_value_Collected","type_value_KeeperSaveInTheBox","type_value_JerseyNumber","type_value_PlayerPosition","type_value_FormationSlot","type_value_InvolvedPlayers","type_value_TeamPlayerFormation","type_value_CaptainPlayerId","type_value_TeamFormation","type_value_BlockedCross","type_value_HighLeft","type_value_ThrowinSetPiece","type_value_DirectFreekick","type_value_KeeperSaveObox","type_value_HighRight","value_Angle","value_Zone","value_Length","value_StandingSave","value_PassEndY","value_PassEndX","value_Longball","value_Chipped","value_HeadPass","value_OppositeRelatedEvent","value_Offensive","value_Defensive","value_ThrowIn","value_LayOff","value_MissLeft","value_CornerTaken","value_Cross","value_LeftFoot","value_Head","value_GoalKick","value_RightFoot","value_MissRight","value_Foul","value_FreekickTaken","value_Throughball","value_ShotAssist","value_KeyPass","value_GoalMouthY","value_OutOfBoxCentre","value_RegularPlay","value_IndividualPlay","value_Blocked","value_BlockedY","value_Assisted","value_LowCentre","value_RelatedEventId","value_BlockedX","value_GoalMouthZ","value_OutfielderBlock","value_HighClaim","value_KeeperThrow","value_PlayerCaughtOffside","value_IndirectFreekickTaken","value_OtherBodyPart","value_BoxCentre","value_FirstTouch","value_IntentionalAssist","value_BigChanceCreated","value_Volley","value_MissHigh","value_SmallBoxCentre","value_BigChance","value_Yellow","value_OverRun","value_LeadingToAttempt","value_OneOnOne","value_LastMan","value_LeadingToGoal","value_FromCorner","value_BoxLeft","value_SmallBoxRight","value_LowRight","value_Hands","value_Collected","value_KeeperSaveInTheBox","value_JerseyNumber","value_PlayerPosition","value_FormationSlot","value_InvolvedPlayers","value_TeamPlayerFormation","value_CaptainPlayerId","value_TeamFormation","value_BlockedCross","value_HighLeft","value_ThrowinSetPiece","value_DirectFreekick","value_KeeperSaveObox","value_HighRight","timeStamp","attendance","venueName","referee","ftScore","hteamId","ateamId","start_zone_value_xT","end_zone_value_xT","xT","teamName","oppositionTeamName","shirtNo","name","position","isFirstEleven","prog_pass","prog_carry","pass_or_carry_angle","shortName","event_index","possession_id","possession_team","row_number"
154,90,8,21,174,103.53,25.704,"FirstHalf","CornerAwarded","Successful",NA,NA,NA,"122",FALSE,315543,103.53,25.704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.35,2818885987,8,NA,56,NA,NA,NA,NA,NA,NA,NA,233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Center",NA,NA,NA,NA,NA,NA,NA,"65",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-26 01:04:26",30263,"The City Ground","Anthony Taylor","0 : 1",174,15,NA,NA,NA,"Nottingham Forest","Chelsea",34,"Ola Aina","DR",TRUE,0,0,0,"O. Aina",154,7,"Nottingham Forest",154
155,91,8,51,174,104.475,0.34,"FirstHalf","Pass","Unsuccessful",NA,NA,NA,"c(91, 137, 124, 126, 31, 33, 34, 35, 37, 217, 218)",TRUE,413211,94.815,35.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.85,2818886473,8,213,56,212,178,141,140,1,155,NA,NA,NA,NA,NA,NA,NA,6,2,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.84","Center","36.7",NA,"52.5","90.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-26 01:04:26",30263,"The City Ground","Anthony Taylor","0 : 1",174,15,NA,NA,NA,"Nottingham Forest","Chelsea",21,"Anthony Elanga","FW",TRUE,23.3381933152568,0,105.279795067308,"A. Elanga",155,7,"Nottingham Forest",155
156,66,8,53,15,11.55,28.084,"FirstHalf","Clearance","Successful",NA,NA,NA,"c(91, 94, 95, 57, 215)",TRUE,363496,16.275,45.492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.88333333333333,2818886503,8,213,56,212,NA,141,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.31","Back","18.0",NA,"66.9","15.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-26 01:04:26",30263,"The City Ground","Anthony Taylor","0 : 1",174,15,NA,NA,NA,"Chelsea","Nottingham Forest",3,"Marc Cucurella","DL",TRUE,0,0,74.8142503235921,"M. Cucurella",156,7,"Nottingham Forest",156
157,92,8,55,174,90.09,24.276,"FirstHalf","Aerial","Successful",NA,NA,NA,"c(197, 199)",FALSE,386969,90.09,24.276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.91666666666667,2818886515,8,NA,56,NA,NA,NA,NA,NA,NA,NA,233,286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Center",NA,NA,NA,NA,NA,NA,NA,"67",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-26 01:04:26",30263,"The City Ground","Anthony Taylor","0 : 1",174,15,NA,NA,NA,"Nottingham Forest","Chelsea",7,"Neco Williams","DL",TRUE,0,0,0,"N. Williams",157,7,"Nottingham Forest",157
158,67,8,55,15,14.91,43.724,"FirstHalf","Aerial","Unsuccessful",NA,NA,NA,"c(198, 200)",FALSE,369430,14.91,43.724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.91666666666667,2818886525,8,NA,56,NA,NA,NA,NA,NA,NA,NA,233,NA,285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Back",NA,NA,NA,NA,NA,NA,NA,"92",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-26 01:04:26",30263,"The City Ground","Anthony Taylor","0 : 1",174,15,NA,NA,NA,"Chelsea","Nottingham Forest",8,"Enzo Fernandez","DMC",TRUE,0,0,0,"E. Fernandez",158,7,"Nottingham Forest",158
159,93,8,55,174,92.295,27.268,"FirstHalf","Pass","Unsuccessful",NA,NA,NA,"c(91, 120, 29, 139, 36, 37, 217, 218)",TRUE,386969,93.24,27.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.91666666666667,2818886521,8,213,56,212,NA,141,140,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.57","Center","1.1",NA,"41.0","88.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-26 01:04:26",30263,"The City Ground","Anthony Taylor","0 : 1",174,15,NA,NA,NA,"Nottingham Forest","Chelsea",7,"Neco Williams","DL",TRUE,1.12119751742212,0,32.9278626531647,"N. Williams",159,7,"Nottingham Forest",159
160,68,8,55,15,16.275,45.492,"FirstHalf","BallTouch","Successful",NA,NA,NA,"91",TRUE,369430,16.275,45.492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.91666666666667,2818886543,8,NA,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Back",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-26 01:04:26",30263,"The City Ground","Anthony Taylor","0 : 1",174,15,NA,NA,NA,"Chelsea","Nottingham Forest",8,"Enzo Fernandez","DMC",TRUE,0,0,0,"E. Fernandez",160,7,"Nottingham Forest",160
161,69,8,56,15,12.495,38.556,"FirstHalf","Clearance","Successful",NA,NA,NA,"c(91, 94, 95, 57, 215)",TRUE,421351,29.295,37.468,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.93333333333333,2818886565,8,213,56,212,NA,141,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6.22","Back","16.8",NA,"55.1","27.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-26 01:04:26",30263,"The City Ground","Anthony Taylor","0 : 1",174,15,NA,NA,NA,"Chelsea","Nottingham Forest",6,"Levi Colwill","DC",TRUE,0,0,-3.70540930612796,"L. Colwill",161,7,"Nottingham Forest",161
162,94,8,58,174,73.185,28.9,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 119, 117, 30, 205, 36, 37, 217, 218)",TRUE,402596,82.425,29.308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.96666666666667,2818886573,8,213,56,212,178,141,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.04","Center","9.2",NA,"43.1","78.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-26 01:04:26",30263,"The City Ground","Anthony Taylor","0 : 1",174,15,0.02385149,0.03511326,0.01126177,"Nottingham Forest","Chelsea",8,"Elliot Anderson","MC",TRUE,9.16373774640886,0,2.52830118898167,"E. Anderson",162,7,"Nottingham Forest",162
163,95,8,58,174,82.425,29.308,"FirstHalf","BallTouch","Successful",NA,NA,NA,"91",TRUE,328075,82.425,29.308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.96666666666667,2818886581,8,NA,56,NA,178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Center",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-26 01:04:26",30263,"The City Ground","Anthony Taylor","0 : 1",174,15,NA,NA,NA,"Nottingham Forest","Chelsea",6,"Ibrahim Sangare","MC",TRUE,0,0,0,"I. Sangare",163,7,"Nottingham Forest",163
164,72,9,0,15,28.035,22.78,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 117, 30, 36, 38, 216, 218)",TRUE,389935,43.05,12.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,2818886637,9,213,56,212,178,141,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5.69","Back","18.2",NA,"18.5","41.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-26 01:04:26",30263,"The City Ground","Anthony Taylor","0 : 1",174,15,0.01110462,0.01214719,0.00104257,"Chelsea","Nottingham Forest",11,"Noni Madueke","AMR",TRUE,12.2299298043128,0,-34.1890784292361,"N. Madueke",164,7,"Nottingham Forest",164
165,72.5,9,4,15,43.05,12.58,"FirstHalf","Carry","Successful",999,"takeOns","0","NULL",TRUE,337916,75.285,9.316,NA,NA,NA,NA,NA,73,NA,NA,NA,NA,9.06666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-26 01:04:26",30263,"The City Ground","Anthony Taylor","0 : 1",174,15,0.0138454,0.02401521,0.01016981,"Chelsea","Nottingham Forest",7,"Pedro Neto","FW",TRUE,0,26.9185454114395,-5.78185782125555,"P. Neto",165,7,"Nottingham Forest",165
166,73,9,8,15,75.285,9.316,"FirstHalf","Pass","Unsuccessful",NA,NA,NA,"c(91, 120, 29, 36, 37, 217, 218)",TRUE,337916,81.06,11.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.13333333333333,2818886785,9,213,56,212,178,141,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.37","Right","6.2",NA,"17.0","77.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-26 01:04:26",30263,"The City Ground","Anthony Taylor","0 : 1",174,15,NA,NA,NA,"Chelsea","Nottingham Forest",7,"Pedro Neto","FW",TRUE,5.81729440267624,0,21.2347041342539,"P. Neto",166,7,"Nottingham Forest",166
167,98,9,8,174,23.205,56.576,"FirstHalf","BallTouch","Successful",NA,NA,NA,"91",TRUE,328075,23.205,56.576,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.13333333333333,2818886977,9,NA,56,NA,178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Back",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-26 01:04:26",30263,"The City Ground","Anthony Taylor","0 : 1",174,15,NA,NA,NA,"Nottingham Forest","Chelsea",6,"Ibrahim Sangare","MC",TRUE,0,0,0,"I. Sangare",167,7,"Nottingham Forest",167
168,96,9,9,174,11.97,47.94,"FirstHalf","Clearance","Successful",NA,NA,NA,"c(91, 94, 95, 215)",TRUE,445424,29.505,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.15,2818886793,9,213,56,212,178,141,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.87","Back","27.2",NA,"100.0","28.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-26 01:04:26",30263,"The City Ground","Anthony Taylor","0 : 1",174,15,NA,NA,NA,"Nottingham Forest","Chelsea",5,"Murillo","DC",TRUE,0,0,48.8423965166225,"Murillo",168,7,"Nottingham Forest",168
169,75,9,34,15,69.825,0,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 212, 36, 37, 217)",TRUE,361330,75.495,2.924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.56666666666667,2818887221,9,213,56,212,NA,141,140,NA,NA,NA,NA,NA,NA,107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.60","Right","6.9",NA,"4.3","71.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-26 01:04:26",30263,"The City Ground","Anthony Taylor","0 : 1",174,15,0.02122129,0.02122129,0,"Chelsea","Nottingham Forest",24,"Reece James","DR",TRUE,6.06953036678269,0,27.2800062674552,"R. James",169,8,"Chelsea",169
170,76,9,35,15,75.495,2.924,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 119, 117, 30, 35, 38, 216, 218)",TRUE,389935,66.36,2.108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.58333333333333,2818887247,9,213,56,212,178,141,140,NA,NA,NA,NA,NA,NA,NA,156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3.23","Right","9.2",NA,"3.1","63.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-26 01:04:26",30263,"The City Ground","Anthony Taylor","0 : 1",174,15,0.02756312,0.0174506,-0.01011252,"Chelsea","Nottingham Forest",11,"Noni Madueke","AMR",TRUE,-7.24975275442094,0,-174.895501314686,"N. Madueke",170,8,"Chelsea",170
