"index","eventId","minute","second","teamId","x","y","period","type","outcomeType","qualifiers.type.value","qualifiers.type.displayName","qualifiers.value","satisfiedEventsTypes","isTouch","playerId","endX","endY","blockedX","blockedY","goalMouthZ","goalMouthY","isShot","relatedEventId","relatedPlayerId","isGoal","cardType","isOwnGoal","cumulative_mins","id","expandedMinute","type_value_Length","type_value_PassEndX","type_value_StandingSave","type_value_Angle","type_value_PassEndY","type_value_Zone","type_value_Cross","type_value_RightFoot","type_value_Chipped","type_value_Head","type_value_MissLeft","type_value_OppositeRelatedEvent","type_value_MissRight","type_value_CornerTaken","type_value_LeftFoot","type_value_Longball","type_value_HighClaim","type_value_KeeperThrow","type_value_HeadPass","type_value_LayOff","type_value_ThrowIn","type_value_Offensive","type_value_Defensive","type_value_BlockedCross","type_value_OtherBodyPart","type_value_Foul","type_value_FreekickTaken","type_value_GoalMouthY","type_value_BlockedX","type_value_GoalMouthZ","type_value_OutOfBoxCentre","type_value_RegularPlay","type_value_LowCentre","type_value_IndividualPlay","type_value_Blocked","type_value_BlockedY","type_value_OutfielderBlock","type_value_PlayerCaughtOffside","type_value_IndirectFreekickTaken","type_value_GoalKick","type_value_MissHigh","type_value_DirectFreekick","type_value_ShotAssist","type_value_KeyPass","type_value_BoxLeft","type_value_RelatedEventId","type_value_Assisted","type_value_FirstTouch","type_value_LowLeft","type_value_Hands","type_value_Collected","type_value_KeeperSaveObox","type_value_Yellow","type_value_LowRight","type_value_IntentionalAssist","type_value_BoxCentre","type_value_SetPiece","type_value_SmallBoxCentre","type_value_FromCorner","type_value_JerseyNumber","type_value_PlayerPosition","type_value_FormationSlot","type_value_TeamPlayerFormation","type_value_InvolvedPlayers","type_value_CaptainPlayerId","type_value_TeamFormation","type_value_Volley","type_value_DeepBoxRight","type_value_SixYardBlock","type_value_SavedOffline","type_value_LastMan","type_value_ParriedDanger","type_value_DivingSave","type_value_KeeperSaveInTheBox","type_value_FastBreak","type_value_AerialFoul","type_value_ParriedSafe","type_value_FromShotOffTarget","type_value_HighCentre","type_value_LeadingToAttempt","type_value_BoxRight","type_value_Throughball","value_Length","value_PassEndX","value_StandingSave","value_Angle","value_PassEndY","value_Zone","value_Cross","value_RightFoot","value_Chipped","value_Head","value_MissLeft","value_OppositeRelatedEvent","value_MissRight","value_CornerTaken","value_LeftFoot","value_Longball","value_HighClaim","value_KeeperThrow","value_HeadPass","value_LayOff","value_ThrowIn","value_Offensive","value_Defensive","value_BlockedCross","value_OtherBodyPart","value_Foul","value_FreekickTaken","value_GoalMouthY","value_BlockedX","value_GoalMouthZ","value_OutOfBoxCentre","value_RegularPlay","value_LowCentre","value_IndividualPlay","value_Blocked","value_BlockedY","value_OutfielderBlock","value_PlayerCaughtOffside","value_IndirectFreekickTaken","value_GoalKick","value_MissHigh","value_DirectFreekick","value_ShotAssist","value_KeyPass","value_BoxLeft","value_RelatedEventId","value_Assisted","value_FirstTouch","value_LowLeft","value_Hands","value_Collected","value_KeeperSaveObox","value_Yellow","value_LowRight","value_IntentionalAssist","value_BoxCentre","value_SetPiece","value_SmallBoxCentre","value_FromCorner","value_JerseyNumber","value_PlayerPosition","value_FormationSlot","value_TeamPlayerFormation","value_InvolvedPlayers","value_CaptainPlayerId","value_TeamFormation","value_Volley","value_DeepBoxRight","value_SixYardBlock","value_SavedOffline","value_LastMan","value_ParriedDanger","value_DivingSave","value_KeeperSaveInTheBox","value_FastBreak","value_AerialFoul","value_ParriedSafe","value_FromShotOffTarget","value_HighCentre","value_LeadingToAttempt","value_BoxRight","value_Throughball","timeStamp","attendance","venueName","referee","ftScore","hteamId","ateamId","start_zone_value_xT","end_zone_value_xT","xT","teamName","oppositionTeamName","shirtNo","name","position","isFirstEleven","prog_pass","prog_carry","pass_or_carry_angle","shortName","event_index","possession_id","possession_team","row_number"
429,251,19,33,167,76.755,59.568,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 119, 117, 30, 35, 38, 216, 218)",TRUE,402664,64.47,38.896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.55,2812562381,19,212,140,178,213,141,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"24.0","61.4",NA,"4.18","57.2","Center",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-10 23:28:45",30937,"St. Mary's Stadium","Tim Robinson","0 : 0",18,167,0.02122129,0.0199707,-0.00125059,"Man City","Southampton",24,"Josko Gvardiol","DL",TRUE,-2.72605477027404,0,-120.722258795266,"J. Gvardiol",429,21,"Man City",429
430,251.5,19,35,167,64.47,38.896,"FirstHalf","Carry","Successful",999,"takeOns","0","NULL",TRUE,297390,64.995,34.408,NA,NA,NA,NA,NA,252,NA,NA,NA,NA,19.5833333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-10 23:28:45",30937,"St. Mary's Stadium","Tim Robinson","0 : 0",18,167,0.0199707,0.0199707,0,"Man City","Southampton",25,"Manuel Akanji","DC",TRUE,0,0.817565452618425,-83.3279425774948,"M. Akanji",430,21,"Man City",430
431,252,19,37,167,64.995,34.408,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 119, 117, 30, 205, 36, 38, 217, 218)",TRUE,297390,72.87,19.244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.6166666666667,2812562455,19,212,140,178,213,141,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"17.1","69.4",NA,"5.19","28.3","Center",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-10 23:28:45",30937,"St. Mary's Stadium","Tim Robinson","0 : 0",18,167,0.0199707,0.0241224,0.0041517,"Man City","Southampton",25,"Manuel Akanji","DC",TRUE,4.65066047475257,0,-62.5561515066714,"M. Akanji",431,21,"Man City",431
432,252.5,19,38.5,167,72.87,19.244,"FirstHalf","Carry","Successful",999,"takeOns","0","NULL",TRUE,313171,75.81,18.496,NA,NA,NA,NA,NA,253,NA,NA,NA,NA,19.6416666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-10 23:28:45",30937,"St. Mary's Stadium","Tim Robinson","0 : 0",18,167,0.0241224,0.0241224,0,"Man City","Southampton",3,"Ruben Dias","DC",TRUE,0,2.30448941693913,-14.2744400917017,"R. Dias",432,21,"Man City",432
433,253,19,40,167,75.81,18.496,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 119, 117, 30, 205, 36, 38, 217, 218)",TRUE,313171,86.31,6.936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.6666666666667,2812562529,19,212,140,178,213,141,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15.6","82.2",NA,"5.45","10.2","Right",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-10 23:28:45",30937,"St. Mary's Stadium","Tim Robinson","0 : 0",18,167,0.0241224,0.02756312,0.00344072,"Man City","Southampton",3,"Ruben Dias","DC",TRUE,0.161564284233258,0,-47.7509904287657,"R. Dias",433,21,"Man City",433
434,254,19,42,167,84.735,7.548,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 119, 117, 30, 205, 35, 37, 217, 218)",TRUE,444791,79.275,20.128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.7,2812562591,19,212,140,178,213,141,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13.7","75.5",NA,"1.98","29.6","Center",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-10 23:28:45",30937,"St. Mary's Stadium","Tim Robinson","0 : 0",18,167,0.02756312,0.02855202,0.000988900000000001,"Man City","Southampton",82,"Rico Lewis","DR",TRUE,4.09550565334575,0,113.461916638987,"R. Lewis",434,21,"Man City",434
435,254.5,19,43,167,79.275,20.128,"FirstHalf","Carry","Successful",999,"takeOns","0","NULL",TRUE,136741,76.545,22.916,NA,NA,NA,NA,NA,255,NA,NA,NA,NA,19.7166666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-10 23:28:45",30937,"St. Mary's Stadium","Tim Robinson","0 : 0",18,167,0.02855202,0.0241224,-0.00442962,"Man City","Southampton",20,"Bernardo Silva","DMC",TRUE,0,-1.31071484468624,134.397783103185,"B. Silva",435,21,"Man City",435
436,255,19,44,167,76.545,22.916,"FirstHalf","Pass","Unsuccessful",NA,NA,NA,"c(91, 120, 29, 124, 36, 37, 217, 218)",TRUE,136741,95.13,29.988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.7333333333333,2812562655,19,212,140,178,213,141,56,NA,NA,155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19.9","90.6",NA,"0.36","44.1","Center",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-10 23:28:45",30937,"St. Mary's Stadium","Tim Robinson","0 : 0",18,167,NA,NA,NA,"Man City","Southampton",20,"Bernardo Silva","DMC",TRUE,19.8833019371299,0,20.8329173580137,"B. Silva",436,21,"Man City",436
437,128,19,46,18,11.445,40.664,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 117, 30, 139, 36, 37, 215, 218)",TRUE,136742,13.335,48.076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.7666666666667,2812562691,19,212,140,NA,213,141,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7.6","12.7",NA,"1.32","70.7","Back",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-10 23:28:45",30937,"St. Mary's Stadium","Tim Robinson","0 : 0",18,167,0.01082722,0.00977745,-0.00104977,"Southampton","Man City",35,"Jan Bednarek","DC",TRUE,1.0525885832172,0,75.6948836447063,"J. Bednarek",437,22,"Southampton",437
438,130,19,48,18,13.335,48.212,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 117, 30, 36, 37, 215, 218)",TRUE,92550,25.095,51.816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.8,2812562791,19,212,140,178,213,141,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12.3","23.9",NA,"0.30","76.2","Back",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-10 23:28:45",30937,"St. Mary's Stadium","Tim Robinson","0 : 0",18,167,0.00977745,0.00942382,-0.000353630000000001,"Southampton","Man City",5,"Jack Stephens","DC",TRUE,10.8931111560965,0,17.0383424803483,"J. Stephens",438,22,"Southampton",438
439,130.5,19,49.5,18,25.095,51.816,"FirstHalf","Carry","Successful",999,"takeOns","0","NULL",TRUE,404616,22.26,54.74,NA,NA,NA,NA,NA,131,NA,NA,NA,NA,19.825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-10 23:28:45",30937,"St. Mary's Stadium","Tim Robinson","0 : 0",18,167,0.00942382,0.00942382,0,"Southampton","Man City",26,"Lesley Ugochukwu","MC",TRUE,0,-3.43271544415921,134.114617384887,"L. Ugochukwu",439,22,"Southampton",439
440,131,19,51,18,22.26,54.74,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 117, 30, 35, 37, 215, 218)",TRUE,404616,13.965,61.404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.85,2812562823,19,212,140,178,213,141,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10.6","13.3",NA,"2.46","90.3","Back",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-10 23:28:45",30937,"St. Mary's Stadium","Tim Robinson","0 : 0",18,167,0.00942382,0.00779616,-0.00162766,"Southampton","Man City",26,"Lesley Ugochukwu","MC",TRUE,-9.77044349886462,0,141.222456825803,"L. Ugochukwu",440,22,"Southampton",440
441,132,19,52,18,13.965,61.404,"FirstHalf","Pass","Unsuccessful",NA,NA,NA,"c(91, 118, 120, 29, 124, 36, 38, 215, 218)",TRUE,389158,33.705,56.712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.8666666666667,2812562843,19,212,140,178,213,141,56,NA,NA,155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20.3","32.1",NA,"6.05","83.4","Back",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-10 23:28:45",30937,"St. Mary's Stadium","Tim Robinson","0 : 0",18,167,NA,NA,NA,"Southampton","Man City",34,"Welington","DML",TRUE,20.2450300642682,0,-13.3705212914539,"Welington",441,22,"Southampton",441
442,256,19,53,167,74.865,20.604,"FirstHalf","Interception","Successful",NA,NA,NA,"c(91, 101, 56)",TRUE,93894,74.865,20.604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.8833333333333,2812562853,19,NA,NA,178,NA,NA,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Center",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-10 23:28:45",30937,"St. Mary's Stadium","Tim Robinson","0 : 0",18,167,NA,NA,NA,"Man City","Southampton",8,"Mateo Kovacic","DMC",TRUE,0,0,0,"M. Kovacic",442,22,"Southampton",442
443,133,19,55,18,25.62,53.788,"FirstHalf","Pass","Unsuccessful",NA,NA,NA,"c(91, 118, 120, 29, 139, 36, 37, 216, 218)",TRUE,337428,35.175,57.256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.9166666666667,2812562903,19,212,140,NA,213,141,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10.2","33.5",NA,"0.35","84.2","Back",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-10 23:28:45",30937,"St. Mary's Stadium","Tim Robinson","0 : 0",18,167,NA,NA,NA,"Southampton","Man City",4,"Flynn Downes","MC",TRUE,8.21321887867664,0,19.9484334706266,"F. Downes",443,22,"Southampton",443
444,257,19,56,167,73.71,17.748,"FirstHalf","Pass","Unsuccessful",NA,NA,NA,"c(91, 120, 29, 139, 36, 38, 217, 218)",TRUE,93894,82.95,14.416,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.9333333333333,2812562979,19,212,140,NA,213,141,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9.8","79.0",NA,"5.94","21.2","Center",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-05-10 23:28:45",30937,"St. Mary's Stadium","Tim Robinson","0 : 0",18,167,NA,NA,NA,"Man City","Southampton",8,"Mateo Kovacic","DMC",TRUE,5.76764301061896,0,-19.8296111329916,"M. Kovacic",444,22,"Southampton",444
