"index","eventId","minute","second","teamId","x","y","period","type","outcomeType","qualifiers.type.value","qualifiers.type.displayName","qualifiers.value","satisfiedEventsTypes","isTouch","playerId","endX","endY","blockedX","blockedY","goalMouthZ","goalMouthY","isShot","relatedEventId","relatedPlayerId","isGoal","cardType","isOwnGoal","cumulative_mins","id","expandedMinute","type_value_PassEndX","type_value_Zone","type_value_Angle","type_value_StandingSave","type_value_Length","type_value_PassEndY","type_value_Longball","type_value_RightFoot","type_value_Cross","type_value_RegularPlay","type_value_FirstTouch","type_value_SmallBoxCentre","type_value_BigChance","type_value_GoalMouthZ","type_value_LowRight","type_value_GoalMouthY","type_value_HeadPass","type_value_Chipped","type_value_Offensive","type_value_OppositeRelatedEvent","type_value_Defensive","type_value_Foul","type_value_FreekickTaken","type_value_MissLeft","type_value_CornerTaken","type_value_Head","type_value_KeeperThrow","type_value_ShotAssist","type_value_KeyPass","type_value_LowCentre","type_value_Assisted","type_value_IndividualPlay","type_value_RelatedEventId","type_value_BlockedX","type_value_BlockedY","type_value_Blocked","type_value_BoxLeft","type_value_OutfielderBlock","type_value_ThrowIn","type_value_LayOff","type_value_LeftFoot","type_value_OtherBodyPart","type_value_OutOfBoxCentre","type_value_MissRight","type_value_GoalKick","type_value_ParriedSafe","type_value_DivingSave","type_value_Hands","type_value_KeeperSaveInTheBox","type_value_FromCorner","type_value_Collected","type_value_KeeperSaveObox","type_value_OverRun","type_value_MissHigh","type_value_BlockedCross","type_value_IntentionalAssist","type_value_BoxCentre","type_value_Yellow","type_value_DeepBoxRight","type_value_DeepBoxLeft","type_value_HighClaim","type_value_LastMan","type_value_SetPiece","type_value_PlayerPosition","type_value_JerseyNumber","type_value_FormationSlot","type_value_CaptainPlayerId","type_value_InvolvedPlayers","type_value_TeamFormation","type_value_TeamPlayerFormation","type_value_Penalty","type_value_KeeperWentWide","type_value_BoxRight","type_value_HighRight","type_value_LeadingToAttempt","type_value_LowLeft","type_value_PlayerCaughtOffside","type_value_IndirectFreekickTaken","type_value_HighCentre","type_value_Throughball","type_value_BigChanceCreated","type_value_SmallBoxLeft","type_value_Volley","type_value_KeeperMissed","type_value_PenaltyShootoutConcededGK","type_value_KeeperSaved","value_PassEndX","value_Zone","value_Angle","value_StandingSave","value_Length","value_PassEndY","value_Longball","value_RightFoot","value_Cross","value_RegularPlay","value_FirstTouch","value_SmallBoxCentre","value_BigChance","value_GoalMouthZ","value_LowRight","value_GoalMouthY","value_HeadPass","value_Chipped","value_Offensive","value_OppositeRelatedEvent","value_Defensive","value_Foul","value_FreekickTaken","value_MissLeft","value_CornerTaken","value_Head","value_KeeperThrow","value_ShotAssist","value_KeyPass","value_LowCentre","value_Assisted","value_IndividualPlay","value_RelatedEventId","value_BlockedX","value_BlockedY","value_Blocked","value_BoxLeft","value_OutfielderBlock","value_ThrowIn","value_LayOff","value_LeftFoot","value_OtherBodyPart","value_OutOfBoxCentre","value_MissRight","value_GoalKick","value_ParriedSafe","value_DivingSave","value_Hands","value_KeeperSaveInTheBox","value_FromCorner","value_Collected","value_KeeperSaveObox","value_OverRun","value_MissHigh","value_BlockedCross","value_IntentionalAssist","value_BoxCentre","value_Yellow","value_DeepBoxRight","value_DeepBoxLeft","value_HighClaim","value_LastMan","value_SetPiece","value_PlayerPosition","value_JerseyNumber","value_FormationSlot","value_CaptainPlayerId","value_InvolvedPlayers","value_TeamFormation","value_TeamPlayerFormation","value_Penalty","value_KeeperWentWide","value_BoxRight","value_HighRight","value_LeadingToAttempt","value_LowLeft","value_PlayerCaughtOffside","value_IndirectFreekickTaken","value_HighCentre","value_Throughball","value_BigChanceCreated","value_SmallBoxLeft","value_Volley","value_KeeperMissed","value_PenaltyShootoutConcededGK","value_KeeperSaved","timeStamp","attendance","venueName","referee","ftScore","hteamId","ateamId","start_zone_value_xT","end_zone_value_xT","xT","teamName","oppositionTeamName","shirtNo","name","position","isFirstEleven","prog_pass","prog_carry","pass_or_carry_angle","shortName","event_index","possession_id","possession_team","row_number"
630,208,25,14,63,56.28,50.592,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 117, 30, 35, 38, 216, 218)",TRUE,375621,45.78,37.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.2333333333333,2787442253,25,140,56,213,NA,212,141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"43.6","Back","4.04",NA,"16.9","55.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-03-14 16:25:09",69304,"Riyadh Air Metropolitano","Szymon Marciniak","1 : 0",63,52,0.01685596,0.01484598,-0.00200998,"Atletico","Real Madrid",4,"Conor Gallagher","ML",TRUE,-7.84973714312123,0,-128.517577452235,"C. Gallagher",630,27,"Atletico",630
631,210,25,17,63,45.465,35.904,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 117, 30, 36, 37, 216, 218)",TRUE,434138,51.24,38.896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.2833333333333,2787442265,25,140,56,213,178,212,141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"48.8","Back","0.48",NA,"6.5","57.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-03-14 16:25:09",69304,"Riyadh Air Metropolitano","Szymon Marciniak","1 : 0",63,52,0.01484598,0.01484598,0,"Atletico","Real Madrid",8,"Pablo Barrios","MC",TRUE,5.58295581746762,0,27.388458790745,"P. Barrios",631,27,"Atletico",631
632,211,25,19,63,51.03,39.508,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 119, 117, 30, 36, 37, 216, 218)",TRUE,80241,60.9,48.824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.3166666666667,2787442279,25,140,56,213,178,212,141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"58.0","Center","0.76",NA,"13.6","71.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-03-14 16:25:09",69304,"Riyadh Air Metropolitano","Szymon Marciniak","1 : 0",63,52,0.01484598,0.01935132,0.00450534,"Atletico","Real Madrid",7,"Antoine Griezmann","FW",TRUE,7.72549350444657,0,43.3460312536324,"A. Griezmann",632,27,"Atletico",632
633,212,25,21,63,61.425,49.368,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 119, 117, 30, 35, 38, 216, 218)",TRUE,375621,55.755,47.124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.35,2787442295,25,140,56,213,178,212,141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"53.1","Center","3.52",NA,"6.1","69.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-03-14 16:25:09",69304,"Riyadh Air Metropolitano","Szymon Marciniak","1 : 0",63,52,0.01935132,0.01685596,-0.00249536,"Atletico","Real Madrid",4,"Conor Gallagher","ML",TRUE,-4.7582202044711,0,-158.40796571728,"C. Gallagher",633,27,"Atletico",633
634,212.5,25,23.5,63,55.755,47.124,"FirstHalf","Carry","Successful",999,"takeOns","0","NULL",TRUE,80241,61.74,48.552,NA,NA,NA,NA,NA,213,NA,NA,NA,NA,25.3916666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-03-14 16:25:09",69304,"Riyadh Air Metropolitano","Szymon Marciniak","1 : 0",63,52,0.01685596,0.01935132,0.00249536,"Atletico","Real Madrid",7,"Antoine Griezmann","FW",TRUE,0,5.32184709846141,13.4196736155139,"A. Griezmann",634,27,"Atletico",634
635,213,25,26,63,61.74,48.552,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 119, 117, 30, 205, 36, 37, 217, 218)",TRUE,80241,71.085,53.924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.4333333333333,2787442305,25,140,56,213,178,212,141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"67.7","Left","0.52",NA,"10.8","79.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-03-14 16:25:09",69304,"Riyadh Air Metropolitano","Szymon Marciniak","1 : 0",63,52,0.01935132,0.02401521,0.00466389,"Atletico","Real Madrid",7,"Antoine Griezmann","FW",TRUE,6.30758342164365,0,29.8925657979105,"A. Griezmann",635,27,"Atletico",635
636,213.5,25,27,63,71.085,53.924,"FirstHalf","Carry","Successful",999,"takeOns","0","NULL",TRUE,365409,73.29,59.84,NA,NA,NA,NA,NA,214,NA,NA,NA,NA,25.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-03-14 16:25:09",69304,"Riyadh Air Metropolitano","Szymon Marciniak","1 : 0",63,52,0.02401521,0.02122129,-0.00279392,"Atletico","Real Madrid",19,"Julian Alvarez","FW",TRUE,0,-1.57075619233999,69.5586672717388,"J. Alvarez",636,27,"Atletico",636
637,214,25,28,63,73.29,59.84,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 119, 117, 30, 205, 36, 37, 217, 218)",TRUE,365409,81.06,65.824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.4666666666667,2787442327,25,140,56,213,178,212,141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"77.2","Left","0.66",NA,"9.8","96.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-03-14 16:25:09",69304,"Riyadh Air Metropolitano","Szymon Marciniak","1 : 0",63,52,0.02122129,0.02756312,0.00634183,"Atletico","Real Madrid",19,"Julian Alvarez","FW",TRUE,1.08188882896437,0,37.6013630026565,"J. Alvarez",637,27,"Atletico",637
638,214.5,25,32.5,63,81.06,65.824,"FirstHalf","Carry","Successful",999,"takeOns","0","NULL",TRUE,361812,100.065,66.64,NA,NA,NA,NA,NA,215,NA,NA,NA,NA,25.5416666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-03-14 16:25:09",69304,"Riyadh Air Metropolitano","Szymon Marciniak","1 : 0",63,52,0.02756312,0.0379259,0.01036278,"Atletico","Real Madrid",23,"Reinildo","DL",TRUE,0,6.81227643240327,2.45854552946716,"Reinildo",638,27,"Atletico",638
639,215,25,37,63,100.065,66.64,"FirstHalf","Pass","Unsuccessful",NA,NA,NA,"c(91, 138, 124, 126, 36, 38, 217, 218)",TRUE,361812,101.43,36.448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.6166666666667,2787442333,25,140,56,213,178,212,141,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"96.6","Center","4.76",NA,"30.2","53.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-03-14 16:25:09",69304,"Riyadh Air Metropolitano","Szymon Marciniak","1 : 0",63,52,NA,NA,NA,"Atletico","Real Madrid",23,"Reinildo","DL",TRUE,28.6822698082147,0,-87.4113832144134,"Reinildo",639,27,"Atletico",639
640,306,25,38,52,3.255,30.668,"FirstHalf","KeeperPickup","Successful",NA,NA,NA,"93",FALSE,73798,3.255,30.668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.6333333333333,2787442331,25,NA,NA,NA,178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-03-14 16:25:09",69304,"Riyadh Air Metropolitano","Szymon Marciniak","1 : 0",63,52,NA,NA,NA,"Real Madrid","Atletico",1,"Thibaut Courtois","GK",TRUE,0,0,0,"T. Courtois",640,28,"Real Madrid",640
641,306.5,25,40.5,52,3.255,30.668,"FirstHalf","Carry","Successful",999,"takeOns","0","NULL",TRUE,73798,8.505,35.36,NA,NA,NA,NA,NA,307,NA,NA,NA,NA,25.675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-03-14 16:25:09",69304,"Riyadh Air Metropolitano","Szymon Marciniak","1 : 0",63,52,0.00941056,0.00941056,0,"Real Madrid","Atletico",1,"Thibaut Courtois","GK",TRUE,0,5.29496100359742,41.7876143753762,"T. Courtois",641,28,"Real Madrid",641
642,307,25,43,52,8.505,35.36,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 36, 38, 215, 218)",TRUE,73798,19.32,24.412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.7166666666667,2787442367,25,140,56,213,178,212,141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"18.4","Back","5.49",NA,"15.4","35.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-03-14 16:25:09",69304,"Riyadh Air Metropolitano","Szymon Marciniak","1 : 0",63,52,0.00941056,0.01001304,0.000602480000000001,"Real Madrid","Atletico",1,"Thibaut Courtois","GK",TRUE,10.2897810918208,0,-45.3501467541046,"T. Courtois",642,28,"Real Madrid",642
643,308,25,45,52,19.74,24.004,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 117, 30, 36, 37, 215, 218)",TRUE,353423,28.665,25.568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.75,2787442385,25,140,56,213,178,212,141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"27.3","Back","0.17",NA,"9.1","37.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-03-14 16:25:09",69304,"Riyadh Air Metropolitano","Szymon Marciniak","1 : 0",63,52,0.01001304,0.01132376,0.00131072,"Real Madrid","Atletico",14,"Aurelien Tchouameni","MC",TRUE,9.04468313004364,0,9.93948145622061,"A. Tchouameni",643,28,"Real Madrid",643
644,308.5,25,46.5,52,28.665,25.568,"FirstHalf","Carry","Successful",999,"takeOns","0","NULL",TRUE,379868,31.185,21.828,NA,NA,NA,NA,NA,309,NA,NA,NA,NA,25.775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-03-14 16:25:09",69304,"Riyadh Air Metropolitano","Szymon Marciniak","1 : 0",63,52,0.01132376,0.01110462,-0.00021914,"Real Madrid","Atletico",5,"Jude Bellingham","ML",TRUE,0,1.98744667267248,-56.0280366944268,"J. Bellingham",644,28,"Real Madrid",644
