"index","eventId","minute","second","teamId","x","y","period","type","outcomeType","qualifiers.type.value","qualifiers.type.displayName","qualifiers.value","satisfiedEventsTypes","isTouch","playerId","endX","endY","blockedX","blockedY","goalMouthZ","goalMouthY","isShot","relatedEventId","relatedPlayerId","isGoal","cardType","isOwnGoal","cumulative_mins","id","expandedMinute","type_value_PassEndY","type_value_PassEndX","type_value_StandingSave","type_value_Zone","type_value_Angle","type_value_Length","type_value_Longball","type_value_Offensive","type_value_OppositeRelatedEvent","type_value_Defensive","type_value_ThrowIn","type_value_Foul","type_value_FreekickTaken","type_value_Chipped","type_value_Cross","type_value_RightFoot","type_value_ShotAssist","type_value_IntentionalAssist","type_value_KeyPass","type_value_Assisted","type_value_GoalMouthY","type_value_BoxCentre","type_value_RelatedEventId","type_value_LowLeft","type_value_LeftFoot","type_value_GoalMouthZ","type_value_BlockedX","type_value_BlockedY","type_value_RegularPlay","type_value_Collected","type_value_DivingSave","type_value_Hands","type_value_KeeperSaveInTheBox","type_value_KeeperThrow","type_value_OtherBodyPart","type_value_LayOff","type_value_OutOfBoxCentre","type_value_ParriedSafe","type_value_KeeperSaveObox","type_value_MissLeft","type_value_CornerTaken","type_value_FromCorner","type_value_BigChance","type_value_LowCentre","type_value_Volley","type_value_SmallBoxCentre","type_value_HeadPass","type_value_IndividualPlay","type_value_GoalKick","type_value_MissHigh","type_value_Head","type_value_Blocked","type_value_BoxRight","type_value_OutfielderBlock","type_value_MissRight","type_value_Throughball","type_value_BigChanceCreated","type_value_OneOnOne","type_value_ParriedDanger","type_value_FirstTouch","type_value_HighRight","type_value_LastMan","type_value_IntentionalGoalAssist","type_value_LowRight","type_value_LeadingToAttempt","type_value_BlockedCross","type_value_PlayerCaughtOffside","type_value_Yellow","type_value_HighLeft","type_value_JerseyNumber","type_value_PlayerPosition","type_value_FormationSlot","type_value_IndirectFreekickTaken","type_value_InvolvedPlayers","type_value_TeamFormation","type_value_TeamPlayerFormation","type_value_CaptainPlayerId","type_value_BoxLeft","value_PassEndY","value_PassEndX","value_StandingSave","value_Zone","value_Angle","value_Length","value_Longball","value_Offensive","value_OppositeRelatedEvent","value_Defensive","value_ThrowIn","value_Foul","value_FreekickTaken","value_Chipped","value_Cross","value_RightFoot","value_ShotAssist","value_IntentionalAssist","value_KeyPass","value_Assisted","value_GoalMouthY","value_BoxCentre","value_RelatedEventId","value_LowLeft","value_LeftFoot","value_GoalMouthZ","value_BlockedX","value_BlockedY","value_RegularPlay","value_Collected","value_DivingSave","value_Hands","value_KeeperSaveInTheBox","value_KeeperThrow","value_OtherBodyPart","value_LayOff","value_OutOfBoxCentre","value_ParriedSafe","value_KeeperSaveObox","value_MissLeft","value_CornerTaken","value_FromCorner","value_BigChance","value_LowCentre","value_Volley","value_SmallBoxCentre","value_HeadPass","value_IndividualPlay","value_GoalKick","value_MissHigh","value_Head","value_Blocked","value_BoxRight","value_OutfielderBlock","value_MissRight","value_Throughball","value_BigChanceCreated","value_OneOnOne","value_ParriedDanger","value_FirstTouch","value_HighRight","value_LastMan","value_IntentionalGoalAssist","value_LowRight","value_LeadingToAttempt","value_BlockedCross","value_PlayerCaughtOffside","value_Yellow","value_HighLeft","value_JerseyNumber","value_PlayerPosition","value_FormationSlot","value_IndirectFreekickTaken","value_InvolvedPlayers","value_TeamFormation","value_TeamPlayerFormation","value_CaptainPlayerId","value_BoxLeft","timeStamp","attendance","venueName","referee","ftScore","hteamId","ateamId","start_zone_value_xT","end_zone_value_xT","xT","teamName","oppositionTeamName","shirtNo","name","position","isFirstEleven","prog_pass","prog_carry","pass_or_carry_angle","shortName","event_index","possession_id","possession_team","row_number"
375,177.5,18,22.5,52,3.045,15.98,"FirstHalf","Carry","Successful",999,"takeOns","0","NULL",TRUE,353423,2.415,12.172,NA,NA,NA,NA,NA,178,NA,NA,NA,NA,18.375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-03-16 16:53:25",20559,"Estadio de la Cerámica","Jesús Gil Manzano","1 : 2",839,52,0.00750072,0.00750072,0,"Real Madrid","Villarreal",14,"Aurelien Tchouameni","DC",TRUE,0,-1.34634728456534,-99.3939909589511,"A. Tchouameni",375,20,"Real Madrid",375
376,178,18,24,52,2.415,12.172,"FirstHalf","Pass","Unsuccessful",NA,NA,NA,"c(91, 118, 120, 128, 36, 37, 216, 218)",TRUE,353423,43.47,43.792,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.4,2788595337,18,141,140,178,56,213,212,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"64.4","41.4",NA,"Back","0.66","51.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-03-16 16:53:25",20559,"Estadio de la Cerámica","Jesús Gil Manzano","1 : 2",839,52,NA,NA,NA,"Real Madrid","Villarreal",14,"Aurelien Tchouameni","DC",TRUE,42.5772835142752,0,37.6029729304994,"A. Tchouameni",376,20,"Real Madrid",376
377,163,18,27,839,62.055,25.636,"FirstHalf","Pass","Unsuccessful",NA,NA,NA,"c(91, 120, 29, 36, 37, 217, 218)",TRUE,494120,72.45,28.628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.45,2788595361,18,141,140,178,56,213,212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"42.1","69.0",NA,"Center","0.28","10.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-03-16 16:53:25",20559,"Estadio de la Cerámica","Jesús Gil Manzano","1 : 2",839,52,NA,NA,NA,"Villarreal","Real Madrid",5,"Willy Kambwala","DC",TRUE,10.7615937667467,0,16.0574422608397,"W. Kambwala",377,20,"Real Madrid",377
378,180,18,40,52,73.395,44.336,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 119, 117, 30, 205, 35, 38, 217, 218)",TRUE,379868,71.82,42.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.6666666666667,2788595551,18,141,140,178,56,213,212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"62.0","68.4",NA,"Center","4.09","2.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-03-16 16:53:25",20559,"Estadio de la Cerámica","Jesús Gil Manzano","1 : 2",839,52,0.0241224,0.0241224,0,"Real Madrid","Villarreal",5,"Jude Bellingham","AMC",TRUE,-0.916468113324228,0,-125.89721295378,"J. Bellingham",378,20,"Real Madrid",378
379,180.5,18,41.5,52,71.82,42.16,"FirstHalf","Carry","Successful",999,"takeOns","0","NULL",TRUE,300713,73.08,49.98,NA,NA,NA,NA,NA,181,NA,NA,NA,NA,18.6916666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-03-16 16:53:25",20559,"Estadio de la Cerámica","Jesús Gil Manzano","1 : 2",839,52,0.02385149,0.0241224,0.000270909999999999,"Real Madrid","Villarreal",9,"Kylian Mbappe","FW",TRUE,0,-1.52792381505179,80.8468674571763,"K. Mbappe",379,20,"Real Madrid",379
380,181,18,43,52,73.08,49.98,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 119, 117, 30, 205, 36, 37, 217, 218)",TRUE,300713,78.33,58.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.7166666666667,2788595601,18,141,140,178,56,213,212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"85.5","74.6",NA,"Left","1.00","9.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-03-16 16:53:25",20559,"Estadio de la Cerámica","Jesús Gil Manzano","1 : 2",839,52,0.0241224,0.02953272,0.00541032,"Real Madrid","Villarreal",9,"Kylian Mbappe","FW",TRUE,-0.276013959115645,0,57.2434860530358,"K. Mbappe",380,20,"Real Madrid",380
381,181.5,18,45.5,52,78.33,58.14,"FirstHalf","Carry","Successful",999,"takeOns","0","NULL",TRUE,347862,79.59,51.34,NA,NA,NA,NA,NA,182,NA,NA,NA,NA,18.7583333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-03-16 16:53:25",20559,"Estadio de la Cerámica","Jesús Gil Manzano","1 : 2",839,52,0.02953272,0.02953272,0,"Real Madrid","Villarreal",11,"Rodrygo","AML",TRUE,0,5.20990781764441,-79.5024886770521,"Rodrygo",381,20,"Real Madrid",381
382,182,18,48,52,79.59,51.34,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 119, 117, 30, 205, 35, 38, 217, 218)",TRUE,347862,78.225,47.192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.8,2788595611,18,141,140,178,56,213,212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"69.4","74.5",NA,"Center","4.39","4.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-03-16 16:53:25",20559,"Estadio de la Cerámica","Jesús Gil Manzano","1 : 2",839,52,0.02953272,0.02855202,-0.000980699999999998,"Real Madrid","Villarreal",11,"Rodrygo","AML",TRUE,0.914257830357972,0,-108.215044311125,"Rodrygo",382,20,"Real Madrid",382
383,183,18,49,52,77.595,45.832,"FirstHalf","Pass","Unsuccessful",NA,NA,NA,"c(91, 120, 29, 36, 38, 217, 218)",TRUE,300713,81.375,45.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.8166666666667,2788595619,18,141,140,178,56,213,212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"67.0","77.5",NA,"Center","6.21","3.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-03-16 16:53:25",20559,"Estadio de la Cerámica","Jesús Gil Manzano","1 : 2",839,52,NA,NA,NA,"Real Madrid","Villarreal",9,"Kylian Mbappe","FW",TRUE,3.54852861171275,0,-4.11577698598694,"K. Mbappe",383,20,"Real Madrid",383
384,165,18,50,839,26.775,27.404,"FirstHalf","BallTouch","Successful",NA,NA,NA,"91",TRUE,362735,26.775,27.404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.8333333333333,2788595651,18,NA,NA,178,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Back",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-03-16 16:53:25",20559,"Estadio de la Cerámica","Jesús Gil Manzano","1 : 2",839,52,NA,NA,NA,"Villarreal","Real Madrid",14,"Santi Comesana","MC",TRUE,0,0,0,"S. Comesana",384,20,"Real Madrid",384
385,184,18,52,52,71.19,46.92,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 119, 117, 30, 205, 36, 37, 217, 218)",TRUE,369109,74.865,50.116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.8666666666667,2788595667,18,141,140,178,56,213,212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"73.7","71.3",NA,"Center","0.72","4.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-03-16 16:53:25",20559,"Estadio de la Cerámica","Jesús Gil Manzano","1 : 2",839,52,0.0241224,0.0241224,0,"Real Madrid","Villarreal",6,"Eduardo Camavinga","DMC",TRUE,2.02078131673519,0,41.0121746865119,"E. Camavinga",385,20,"Real Madrid",385
386,185,18,55,52,75.6,51.408,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 119, 117, 30, 205, 36, 37, 217, 218)",TRUE,300713,82.53,51.748,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.9166666666667,2788595785,18,141,140,178,56,213,212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"76.1","78.6",NA,"Center","0.05","6.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-03-16 16:53:25",20559,"Estadio de la Cerámica","Jesús Gil Manzano","1 : 2",839,52,0.02401521,0.02953272,0.00551751,"Real Madrid","Villarreal",9,"Kylian Mbappe","FW",TRUE,5.53344993266871,0,2.80879612028823,"K. Mbappe",386,20,"Real Madrid",386
387,185.5,18,59,52,82.53,51.748,"FirstHalf","Carry","Successful",999,"takeOns","0","NULL",TRUE,347862,73.185,59.432,NA,NA,NA,NA,NA,186,NA,NA,NA,NA,18.9833333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-03-16 16:53:25",20559,"Estadio de la Cerámica","Jesús Gil Manzano","1 : 2",839,52,0.02953272,0.02122129,-0.00831143,"Real Madrid","Villarreal",11,"Rodrygo","AML",TRUE,0,-12.0968252586609,140.570978455987,"Rodrygo",387,20,"Real Madrid",387
388,186,19,3,52,73.185,59.432,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 119, 117, 30, 35, 38, 216, 218)",TRUE,347862,65.835,49.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.05,2788595793,19,141,140,178,56,213,212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"73.0","62.7",NA,"Center","4.07","12.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-03-16 16:53:25",20559,"Estadio de la Cerámica","Jesús Gil Manzano","1 : 2",839,52,0.02401521,0.01935132,-0.00466389,"Real Madrid","Villarreal",11,"Rodrygo","AML",TRUE,-1.44175807002205,0,-126.892359971269,"Rodrygo",388,20,"Real Madrid",388
389,187,19,5,52,64.47,49.844,"FirstHalf","Pass","Successful",NA,NA,NA,"c(91, 119, 117, 30, 205, 36, 37, 217, 218)",TRUE,534899,71.19,61.132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.0833333333333,2788595853,19,141,140,178,56,213,212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"89.9","67.8",NA,"Left","1.03","13.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-03-16 16:53:25",20559,"Estadio de la Cerámica","Jesús Gil Manzano","1 : 2",839,52,0.01935132,0.02122129,0.00186997,"Real Madrid","Villarreal",35,"Raul Asencio","DC",TRUE,0.166365452980216,0,59.2337111689931,"R. Asencio",389,20,"Real Madrid",389
390,187.5,19,7,52,71.19,61.132,"FirstHalf","Carry","Successful",999,"takeOns","0","NULL",TRUE,347862,74.55,61.2,NA,NA,NA,NA,NA,188,NA,NA,NA,NA,19.1166666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2025-03-16 16:53:25",20559,"Estadio de la Cerámica","Jesús Gil Manzano","1 : 2",839,52,0.02122129,0.02122129,0,"Real Madrid","Villarreal",11,"Rodrygo","AML",TRUE,0,2.52101831507309,1.15939917071458,"Rodrygo",390,20,"Real Madrid",390
